גוף מנהל,שם קרן,מספר קופה,לינק לקובץ Q1 2013,לינק לאתר,סוג קופה,מי עובד על הקופה ?,הערות (אם יש משהו מסובך בנגישות לקובץ),
"איילון חברה לביטוח בע""מ",איילון פסגה,131,http://www.ayalon-ins.co.il/NR/rdonlyres/A2E991B1-3251-4659-AD4A-BC9FC1EC1554/0/Pe_Ayalon_Pisga_131_Reshinat_Nechaism_Rivon1_2013.xls,http://www.ayalon-ins.co.il/Ayalon/Pension/Pisga/Netunim_kaspyim_Vehaskaot/Quarterly_Report.htm,קרן פנסיה,,יש 4 מסלולים שונים של אותה קופה. צריך לבדוק,
"איילון חברה לביטוח בע""מ",איילון פסגה מנהלים *,657,http://www.ayalon-ins.co.il/NR/rdonlyres/972E5A7C-02A1-4F7A-9983-675B4016C3BF/0/Pe_Ayalon_Pisga_Menahalim_657_Reshinat_Nechaism_Rivon1_2013.xls,http://www.ayalon-ins.co.il/Ayalon/Pension/Pisga/Netunim_kaspyim_Vehaskaot/Quarterly_Report.htm,קרן פנסיה,,,
"איילון חברה לביטוח בע""מ",מגן זהב,166,http://www.ayalon-ins.co.il/NR/rdonlyres/A0D548C2-FF51-4AEC-912D-DCDF52E262DE/0/Pe_Magen_Zahav_Reshimat_Nechasim_Rivon1_2013.xls,http://www.ayalon-ins.co.il/Ayalon/Pension/Magen_Zahav/Netunim_kaspyim_Vehaskaot/Reshimat_Nechasim_Rivonit.htm,קרן פנסיה,,,
"אלטשולר שחם בע""מ",אלטשולר שחם פנסיה כללית *,1329,https://www.as-invest.co.il/FilesArchive/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%94%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%20%D7%A7%D7%A8%D7%9F%20%D7%9B%D7%9C%D7%9C%D7%99%D7%AA%20-%20%D7%9E%D7%A8%D7%A5%202013%20-%20%D7%9E%D7%AA%D7%95%D7%A7%D7%9F.xls,https://www.as-invest.co.il/pension/general/.aspx,קרן פנסיה,,"למטה תחת מידע נוסף על הקופה צריך ללחוץ על ""רשימת נכסים""",
"אלטשולר שחם בע""מ",אלטשולר שחם פנסיה מקיפה,1328,https://www.as-invest.co.il/FilesArchive/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%94%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%20%D7%A7%D7%A8%D7%9F%20%D7%9E%D7%A7%D7%99%D7%A4%D7%94%20-%20%D7%9E%D7%A8%D7%A5%202013%20-%20%D7%9E%D7%AA%D7%95%D7%A7%D7%9F.xls,https://www.as-invest.co.il/pension/mekifa/.aspx,קרן פנסיה,,"למטה תחת מידע נוסף על הקופה צריך ללחוץ על ""רשימת נכסים""",
"אקסלנס השקעות בע""מ",אקסלנס נשואה פנסיה,180,https://www.xnes.co.il/Modules/Kupa/Getfile.ashx?ID=6034,https://www.xnes.co.il/pension/OurPensions/Mekifa.aspx,קרן פנסיה,,,
"אקסלנס נשואה גמל ופנסיה בע""מ",אקסלנס נשואה פנסיה חיסכון *,670,https://www.xnes.co.il/Modules/Kupa/Getfile.ashx?ID=6033,https://www.xnes.co.il/pension/OurPensions/Klalit.aspx,קרן פנסיה,,,
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי השתלמות אג""ח ועוד",1203,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1203_4511.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי השתלמות אג""ח ללא מניות",1202,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1202_4381.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי השתלמות אג""ח מדינת ישראל",1443,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1443_4631.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות בניהול אישי,2100,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות כללי,1204,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1204_4141.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מחקה מדד מדדיות ממשלתיות 2-5 שנים,2268,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי השתלמות מחקה מדד ת""א 25",2264,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מחקה מדד S and P500,2265,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מניות,1205,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1205_4261.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מניות בארץ,1518,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1518_9051.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי השתלמות מניות בחו""ל",1544,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1204_4141.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מסלול מורכב 10% מניות כללי פסיבי,2270,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מסלול מורכב 25% מניות כללי פסיבי,2271,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות מסלול מחקה מדד תל בונד 20,2272,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי השתלמות שקלי לטווח קצר,1014,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1014_9171.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,קרן השתלמות,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אלטשולר שחם בע""מ",נירית כללית,437,https://www.as-invest.co.il/FilesArchive/nirit_assets_q3-11.xls,https://www.as-invest.co.il/gemel/kranot/niritgen/.aspx,השתלמות,,אלטשטלר שחם,
"אלטשולר שחם בע""מ",נירית מניות,855,https://www.as-invest.co.il/FilesArchive/%D7%A0%D7%99%D7%A8%D7%99%D7%AA%20%D7%9E%D7%A0%D7%99%D7%95%D7%AA%20%20-%20%D7%A1%D7%95%D7%A4%D7%99.XLS,https://www.as-invest.co.il/gemel/kranot/niritmen/.aspx,השתלמות,,אלטשטלר שחם,
"אלטשולר שחם בע""מ",נירית שקלי,1390,,,השתלמות,,אלטשטלר שחם,
"אלטשולר שחם בע""מ","נירית-אג""ח",558,https://www.as-invest.co.il/FilesArchive/niritag_assets_q3-11.xls,https://www.as-invest.co.il/gemel/kranot/niritagach/.aspx,השתלמות,,אלטשטלר שחם,
אחר,"אוניברסיטת ת""א - מסלול כללי",218,http://www.tau.ac.il/academic/fund/portfolio.html#qua,http://www.tau.ac.il/academic/fund/portfolio.html#qua,גמל,נדב,"חברה לניהול קופת גמל מפעלית ליד קופת התגמולים לעובדים אקדמאיים של אוניברסיטת תל אביב (1965) בע""מ",
אחר,"אוניברסיטת ת""א - מסלול שקלי",2080,http://www.tau.ac.il/academic/fund/portfolio.html#qua,http://www.tau.ac.il/academic/fund/portfolio.html#qua,גמל,נדב,"חברה לניהול קופת גמל מפעלית ליד קופת התגמולים לעובדים אקדמאיים של אוניברסיטת תל אביב (1965) בע""מ",
אחר,אישית לפיצויים-אוניברסיטה עברית,969,http://gemel.huji.ac.il/media/k2/attachments/969_assets_Q1_2013.xls,http://gemel.huji.ac.il/reports/financial-reports,גמל,נדב,,
אחר,"אל על - אג""ח",1476,http://www.elalgemel.co.il/_Uploads/dbsAttachedFiles/reshima_03.13_bond(1).xls,http://www.elalgemel.co.il/?CategoryID=209&ArticleID=111,גמל,נדב,,
אחר,אל על - כללי,206,http://www.elalgemel.co.il/_Uploads/dbsAttachedFiles/reshima_03.13_klali.xls,http://www.elalgemel.co.il/?CategoryID=209&ArticleID=111,גמל,נדב,,
אחר,אל על - מניות,1526,http://www.elalgemel.co.il/_Uploads/dbsAttachedFiles/reshima_03.13_stocks.xls,http://www.elalgemel.co.il/?CategoryID=209&ArticleID=111,גמל,נדב,,
אחר,ארם זהב- עד 10% מניות,1341,http://www.aram-gmulim.co.il/GemelWeb/TifseyKupa/54_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1341.xls,http://www.aram-gmulim.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=711&subMenuItem=1835,גמל,נדב,,
אחר,ארם קלאסי,297,http://www.aram-gmulim.co.il/GemelWeb/TifseyKupa/54_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328.xls,http://www.aram-gmulim.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=711&subMenuItem=1835,גמל,נדב,,
אחר,האוניברסיטה העברית,424,http://gemel.huji.ac.il/media/k2/attachments/424_assets_Q1_2013.xls,http://gemel.huji.ac.il/reports/financial-reports,גמל,נדב,,
אחר,האוניברסיטה העברית מסלול עד 10% מניות,1383,http://gemel.huji.ac.il/media/k2/attachments/1383_assets_Q1_2013.xls,http://gemel.huji.ac.il/reports/financial-reports,גמל,נדב,,
אחר,"הילה - אג""ח",2132,,http://www.massadgemel.co.il/MassadGemel/site/MassadGemel.asp?pi=1643&doc_id=4357,גמל,נדב,בעיה במתן לינק לקובץ ,
אחר,הילה - כללי,1478,,http://www.massadgemel.co.il/MassadGemel/site/MassadGemel.asp?pi=1643&doc_id=4357,גמל,נדב,בעיה במתן לינק לקובץ ,
אחר,הנדסאים וטכנאים - מסלול מנייתי,1318,http://www.kerentech.co.il/_Uploads/161resh.nehasim-men-28.03.13.xls,http://www.kerentech.co.il/Index.asp?ArticleID=161&CategoryID=76&Page=1,גמל,נדב,,
אחר,הנדסאים וטכנאים - מסלול רגיל,290,http://www.kerentech.co.il/_Uploads/144resh.nehasim-290-28.03.13.xls,http://www.kerentech.co.il/Index.asp?ArticleID=144&CategoryID=76&Page=1,גמל,נדב,,
אחר,"הנדסאים וטכנאים מסלול אג""ח",1384,http://www.kerentech.co.il/_Uploads/126resh.nehasim-agah-28.03.13.xls,http://www.kerentech.co.il/Index.asp?ArticleID=126&CategoryID=76&Page=1,גמל,נדב,,
אחר,השתלמות משפטנים,292,http://keren.mishpatanim.co.il/GemelWeb/TifseyKupa/50_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_292_4521.xls,http://keren.mishpatanim.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=671&subMenuItem=2765,גמל,נדב,,
אחר,השתלמות משפטנים ללא מניות,1455,http://keren.mishpatanim.co.il/GemelWeb/TifseyKupa/50_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328__1455_4881.xls,http://keren.mishpatanim.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=671&subMenuItem=2765,גמל,נדב,,
אחר,השתלמות משפטנים מנייתי,1454,http://keren.mishpatanim.co.il/GemelWeb/TifseyKupa/50_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_1454_4761.xls,http://keren.mishpatanim.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=671&subMenuItem=2765,גמל,נדב,,
אחר,השתלמות שופטים,294,,,גמל,,,
אחר,"מינהל - השתלמות - אג""ח",1385,http://www.minhal.org/_Uploads/dbsForms/reshimat_necasim_lelomenayot_31032013.xls,http://www.minhal.org/?CategoryID=153,גמל,נדב,,
אחר,מינהל - השתלמות - טיטניום מניות,1262,http://www.minhal.org/_Uploads/dbsForms/reshimat_necasim_titanyum_31032013.xls,http://www.minhal.org/?CategoryID=153,גמל,נדב,,
אחר,"מינהל-השתלמות - אג""ח לטווח קצר",2253,,,גמל,,,
אחר,מינהל-השתלמות - כללי,299,http://www.minhal.org/_Uploads/dbsForms/reshimat_necasim_klali_31032013.xls,http://www.minhal.org/?CategoryID=153,גמל,נדב,,
אחר,"מרכזית לפנסיה תקציבית של עובדי עיריית ת""א",1282,http://tag.tagmulimta.co.il/GemelWeb/Templates/DownloadForms3.aspx?menuItem=281&subMenuItem=96,"לא מפרסמים דו""ח נכון",גמל,נדב,,
אחר,"עיריית ת""א תגמולים אופק עד 10% מניות",1405,http://tag.tagmulimta.co.il/GemelWeb/Templates/DownloadForms3.aspx?menuItem=281&subMenuItem=96,"לא מפרסמים דו""ח נכון",גמל,נדב,,
אחר,"עירית ת""א תגמולים עתיד",337,http://tag.tagmulimta.co.il/GemelWeb/Templates/DownloadForms3.aspx?menuItem=281&subMenuItem=96,"לא מפרסמים דו""ח נכון",גמל,נדב,,
אחר,עריית חיפה,340,http://www.ktagmulimhaifa.co.il/GemelWeb/TifseyKupa/12_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%D7%97%D7%99%D7%A4%D7%94-28.3.13.xls,http://www.ktagmulimhaifa.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=291&subMenuItem=1757,גמל,נדב,,
אחר,"פיצויים עיריית ת""א - סער מניות",1481,,,גמל,,,
אחר,"פיצויים עיריית ת""א - צבר",891,http://pitzuim.tagmulimta.co.il/GemelWeb/TifseyKupa/27_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%D7%A4%D7%99%D7%A6%D7%95%D7%99%D7%99%D7%9D.xls,http://pitzuim.tagmulimta.co.il/GemelWeb/Templates/DownloadForms3.aspx?menuItem=441&subMenuItem=404,גמל,,,
אחר,"פיצויים עיריית ת""א - שחר",1480,,,גמל,,,
אחר,ק.ה.ר,295,http://infinity.co.il/uploads/kahar/kaharreshimatnehasim/2013/Q113/reshimatnehasimrivonit31.3.13.xls,http://infinity.co.il/nihulkupot/%D7%90%D7%95%D7%93%D7%95%D7%AA-%D7%94%D7%A7%D7%A8%D7%9F-3/%D7%A7-%D7%94-%D7%A8-%D7%A0%D7%9B%D7%A1%D7%99-%D7%94%D7%A7%D7%95%D7%A4%D7%94-%D7%95%D7%AA%D7%A9%D7%95%D7%90%D7%95%D7%AA/%D7%A7-%D7%94-%D7%A8-%D7%A8%D7%A9%D7%99%D7%9E%D7%AA-%D7%A0%D7%9B%D7%A1%D7%99%D7%9D-%D7%A8%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%AA/,גמל,נדב,מנוהל על ידי אינפיניטי,
אחר,ק.ל.ע מסלול כללי,378,http://krn-kela.co.il/spaw/uploads/files/2013-assetsQ1.xls,http://www.krn-kela.co.il/propertylist.html,גמל,,,
אחר,ק.ל.ע מסלול ללא מניות,1433,http://krn-kela.co.il/spaw/uploads/files/2013-assetsQ1-agah.xls,,גמל,,,
אחר,קו הבריאות - כללי,301,http://www.kav-habriut.co.il/GemelWeb/TifseyKupa/58_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_301_5601.xls,http://www.kav-habriut.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=751&subMenuItem=2704,גמל,נדב,,
אחר,קו הבריאות - ללא מניות,1450,http://www.kav-habriut.co.il/GemelWeb/TifseyKupa/58_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1450_6161.xls,http://www.kav-habriut.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=751&subMenuItem=2704,גמל,נדב,,
אחר,"קופת גמל הנדסאים מסלול אג""ח",1414,http://gemel-handesaim.co.il/spaw/uploads/files/2013-assetsQ1-agah.xls,http://www.gemel-handesaim.co.il/propertylist.php,גמל,,,
אחר,קופת גמל הנדסאים מסלול כללי,157,http://gemel-handesaim.co.il/spaw/uploads/files/2013-assetsQ1.xls,http://www.gemel-handesaim.co.il/propertylist.php,גמל,,,
אחר,"קופת גמל עו""ס מסלול כללי",159,http://os-gml.co.il/spaw/uploads/files/2013-assetsQ1.xls,http://www.os-gml.co.il/propertylist.html,גמל,,,
אחר,"קופת גמל עו""ס מסלול ללא מניות",1437,http://os-gml.co.il/spaw/uploads/files/2013-assetsQ1-agah.xls,http://www.os-gml.co.il/propertylist.html,גמל,,,
אחר,"קופת גמל עמ""י מסלול כללי",161,http://ami-gml.co.il/spaw/uploads/files/2013-assetsQ1.xls,http://www.ami-gml.co.il/propertylist.html,גמל,,,
אחר,"קופת גמל עמ""י מסלול ללא מניות",1434,http://ami-gml.co.il/spaw/uploads/files/2013-assetsQ1-agah.xls,http://www.ami-gml.co.il/propertylist.html,גמל,,,
אחר,קופת התגמולים של עובדי בנק לאומי,229,,http://www.leumi.co.il/home01/the_pension_contribution_funds_management_company/9023/,גמל,לא נמצא,,
אחר,קרן השתלמות לעובדי המדינה מסלול כללי,382,http://www.ovdeimedina.co.il/spaw/uploads/files/2013-assetsQ1.xls,,גמל,,,
אחר,קרן השתלמות לעובדי המדינה מסלול ללא מניות,1404,http://www.ovdeimedina.co.il/spaw/uploads/files/2013-assetsQ1-agah.xls,,גמל,,,
אחר,קרן השתלמות עובדי חברת חשמל,423,,http://ikerenm.i-ecnet.co.il/,גמל,,,
אחר,קרן השתלמות של עובדי האוניברסיטה העברית,1182,http://gemel.huji.ac.il/media/k2/attachments/1182_assets_Q1_2013.xls,http://gemel.huji.ac.il/reports/financial-reports,גמל,,,
אחר,רום ספיר מנייתי,1258,http://www.krm.co.il/UserFiles/file/excel/assets_sapir_march_2013.xls,http://www.krm.co.il/spir.aspx,גמל,,,
אחר,רום קרן השתלמות לעובדי רשויות מקומיות - קלאסי,408,http://www.krm.co.il/UserFiles/file/excel/assets_classi_march_2013.xls,http://www.krm.co.il/Classic.aspx,גמל,,,
אחר,"רום רביד אג""ח",1257,http://www.krm.co.il/UserFiles/file/excel/assets_ravid_march_2013.xls,http://www.krm.co.il/ravid.aspx,גמל,,,
אחר,"רעות - אג""ח",1316,,http://www.reut.net/article.aspx?id=666,גמל,,,
אחר,רעות מניות פלוס,1317,,http://www.reut.net/article.aspx?id=666,גמל,,,
אחר,רעות שיקלי קצר,1430,,http://www.reut.net/article.aspx?id=666,גמל,,,
אחר,רעות-כללית,392,,http://www.reut.net/article.aspx?id=666,גמל,,,
אחר,"רשף - אג""ח",1447,,http://www.massadgemel.co.il/MassadGemel/site/MassadGemel.asp?pi=1643&doc_id=4357,גמל,בעיה בהורדת הקובץ,,
אחר,רשף - כללי,636,,http://www.massadgemel.co.il/MassadGemel/site/MassadGemel.asp?pi=1643&doc_id=4357,גמל,בעיה בהורדת הקובץ,,
אחר,שדות מסלול כללי,160,http://sadot-gml.co.il/spaw/uploads/files/2013-assetsQ1.xls,http://www.sadot-gml.co.il/propertylist.html,גמל,,,
אחר,שדות מסלול ללא מניות,1436,http://sadot-gml.co.il/spaw/uploads/files/2013-assetsQ1-agah.xls,http://www.sadot-gml.co.il/propertylist.html,גמל,,,
אחר,שחק מניות,1477,http://www.shhak.tagmulimta.co.il/GemelWeb/TifseyKupa/100_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%D7%A9%D7%97%D7%A712013.xls,http://www.shhak.tagmulimta.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=47816,גמל,,,
אחר,תעשיה אוירית כללי,376,http://www.gemeliai.co.il/GemelWeb/TifseyKupa/76_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%D7%A8%D7%91%D7%A2%D7%95%D7%9F03.2013---376.xls,http://www.gemeliai.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=931,גמל,,,
אחר,"תעשיה אוירית מסלול אג""ח ממשלתי",1439,http://www.gemeliai.co.il/GemelWeb/TifseyKupa/76_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%D7%A8%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%AA03.2013-1439.xls,http://www.gemeliai.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=931,גמל,,,
אחר,תעשיה אוירית מסלול מניות,1525,http://www.gemeliai.co.il/GemelWeb/TifseyKupa/76_%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%D7%A0%D7%9B%D7%A1%D7%99%D7%9D%D7%A8%D7%91%D7%A2%D7%95%D7%A0%D7%99%D7%AA03.2013-1525.xls,http://www.gemeliai.co.il/GemelWeb/Templates/DownloadForms.aspx?menuItem=931,גמל,,,
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי - נגב קופה מרכזית לפיצויים רב מסלולים,429,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_429_kv412.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,גמל,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי גמל בניהול אישי,2098,,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,גמל,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ","אי.בי.אי לתגמולים ופיצויים אג""ח ללא מניות",1198,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1198_3451.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,גמל,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
"אי.בי.אי בית השקעות בע""מ",אי.בי.אי לתגמולים ופיצויים שקלי לטווח קצר,1010,http://www.ibi.co.il/Documents/2013/%D7%99%D7%95%D7%A0%D7%99/2-6-2013/%D7%A8%D7%A9%D7%99%D7%9E%D7%AA%20%D7%A0%D7%9B%D7%A1%D7%99%D7%9D_20130328_v1_1010_8241.xls,http://www.ibi.co.il/Main/Gemel/Giluy/Giluy.aspx,גמל,,"בתחתית העמוד יש הפניה לחיפוש על תחום ספציפי. לאחר הקליק צריך לבצע חיפוש בצד שמאל של הדף ולבחור דו""ח נכסים רבעוני",
