גוף מנהל,שם קרן,סוג קופה,מספר קופה,לינק לאתר,לינק לקובץ Q1 2013,לינק לקובץ Q2 2013
,"מגדל-אג""ח ופקדונות (100%)",ביטוח מנהלים,68,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_agachpikadon_100_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_agachpikadon_100_30062013.xls
,"מגדל-אג""ח ופקדונות (מינ' 65%)",ביטוח מנהלים,75,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_clali3_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_clali3_30062013.xls
,"מגדל-אג""ח ופקדונות (מינ' 80%)",ביטוח מנהלים,16,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_agachmin_80_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_agachmin_80_30062013.xls
,מגדל-כללי 2,ביטוח מנהלים,19,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_clali2_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_clali2_30062013.xls
,מגדל-כללי 2 ( עד 35% מניות),ביטוח מנהלים,74,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_clali2_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_clali2_30062013.xls
,מגדל-כללי 3,ביטוח מנהלים,20,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_clali3_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_clali3_30062013.xls
,מגדל-כללי 3 ( עד 65% מניות),ביטוח מנהלים,70,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_agachmin_65_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_agachmin_65_30062013.xls
,"מגדל-מט""ח (מינ' 50%)",ביטוח מנהלים,,,,
,"מגדל-מט""ח (מינ' 70%)",ביטוח מנהלים,,,,
,"מגדל-מט""ח מינימום 50%",ביטוח מנהלים,,,,
,"מגדל-מט""ח מינימום 70%",ביטוח מנהלים,,,,
,מגדל-מנייתי,ביטוח מנהלים,76,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/migdal_new_menayati_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/migdal_new_menayati_30062013.xls
,מגדל-מנייתי,ביטוח מנהלים,21,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdal_menayati_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdal_menayati_30062013.xls
,מגדל-מסלול השקעה לפי הכשר הלכתי,ביטוח מנהלים,185,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/Migdalkosher_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/Migdalkosher_30062013.xls
,מגדל-צמוד דולר,ביטוח מנהלים,,,,
,מגדל-צמוד לדולר,ביטוח מנהלים,,,,
,מגדל-קרן ח',ביטוח מנהלים,17010,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/MigdalParticipate_Keren_Chet_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/MigdalParticipate_Keren_Chet_30062013.xls
,מגדל-קרן ט',ביטוח מנהלים,17011,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/MigdalParticipate_Keren_Tet_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/MigdalParticipate_Keren_Tet_30062013.xls
,מגדל-קרן י',ביטוח מנהלים,17012,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Pages/default.aspx,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q1.2013/MigdalParticipate_Keren_Yud_31032013.xls,https://www.migdal.co.il/He/MigdalTeam/investments/Assets/Documents/Q2.2013/MigdalParticipate_Keren_Yud_30062013.xls
