managing_body,fund,report_year,report_qurater,instrument_type,instrument_sub_type,instrument_symbol,instrument_id,underlying_asset,industry,rating,rating_agency,date_of_purchase,average_of_duration,currency,intrest_rate,yield,par_value,rate,market_cap,fair_value,rate_of_ipo,rate_of_fund,date_of_revaluation,type_of_asset,tmp_name
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",ארזים אגח 2 חש 4/12- ארזים השקעות בע"מ,1380146,,נדל"ן ובינוי,D,מעלות,2012-06-17T00:00:00.000Z,0.97,NIS,0,2.14,141328.21,82,,115.8891322,0.376197849834227,0.0373650941314515,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",בריטיש ישראל אגח ג- בריטיש-ישראל השקעות בע"מ,1117423,,נדל"ן ובינוי,AA-,מעלות,,4.94,NIS,5.85,2.87,1107654,123.2,1364.629728,,0.0502478797003518,0.439985331439879,,,
Migdal,199,2012,4,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,שחר 2683- שחר,9268335,,,RF,פנימי,,2.76,NIS,6.5,2.07,8500000,119.09,10122.65,,0.0824797407923741,3.26375530586411,,,
Migdal,199,2012,4,סכום נכסי הקרן,,סעיף 8. חוזים עתידיים,,,,,,,,,,,,,,9e-05,,2.9017893291556e-08,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",קאר אנד גו %7.4 (חודשי+קרן) 07- קאר אנד גו (סדרה א) בע"מ,1088202,,שרותים,NR3,פנימי,2011-08-24T00:00:00.000Z,0.01,NIS,7.4,0.01,84414.97,0.01,,0.008441497,2.2968378641128,2.72171621296656e-06,,,
Migdal,199,2012,4,ניירות ערך סחירים,תעודות התחייבות ממשלתיות,ממשלתי ריבית משתנה 0817- ממשל קצרה,1106970,,,RF,פנימי,,4.48,NIS,2.01,1.98,16200000,99.19,16068.78,,0.105379938586914,5.180912704061,,,
Migdal,199,2012,4,סכום נכסי הקרן,,סעיף 9. מוצרים מובנים,,,,,,,,,,,,,,65.5715646671,,0.0211416518496697,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",אנטר הולדינגס אגח ב- אלביט מדיקל טכנולוג'יס בע"מ,4740163,,השקעות במדעי החיים,0,לא מדורג,2011-09-21T00:00:00.000Z,0.01,NIS,7.45,0.01,386613.4,0.01,,0.03866134,0,1.24652293180952e-05,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דקסיה ישראל הנ אגח א 4.25- דקסיה ישראל הנפקות בע"מ,1095058,,בנקים,AA-,מעלות,,0.93,NIS,4.25,0.95,0.17,122.15,0.000207655,,2.36851370331468e-07,6.69523403495341e-08,,,
Migdal,199,2012,4,סכום נכסי הקרן,,ד. הלוואות,,,,,,,,,,,,,,1343.423286316,,0.433147928530103,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",גלובליקום ב' חש 11.08- גלובליקום טרייד בע"מ לשעבר מילומור,1112903,,מסחר,0,לא מדורג,2010-10-31T00:00:00.000Z,3.97,NIS,5.95,0.01,62500,1,,0.625,0.171228363789426,0.000201513147858028,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דקסיה ישראל הנ אגח ב 4.65- דקסיה ישראל הנפקות בע"מ,1095066,,בנקים,AA-,מעלות,,4.17,NIS,4.65,1.18,0.7,136.05,0.00095235,,9.94404401199786e-08,3.07057674180149e-07,,,
Migdal,199,2012,4,סכום נכסי הקרן,,ה. פקדונות,,,,,,,,,,,,,,1102.1076521,,0.355342691604946,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",פולאר השק אגח ו חש 1/12- פולאר השקעות בע"מ,6980296,,השקעה ואחזקות,,לא מדורג,2012-08-30T00:00:00.000Z,0.95,NIS,6,16.34,150000,50.08,,75.12,0.166666666666667,0.0242202682673521,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",חשמל אגח 22- חברת החשמל לישראל בע"מ,6000020,,שרותים,Aa3,מידרוג,,1.1,NIS,6.5,1.98,1117524.4,130.67,1460.26913348,,0.0248338821779241,0.470821487691952,,,
Migdal,199,2012,4,סכום נכסי הקרן,,ו. זכויות מקרקעין,,,,,,,,,,,,,,4e-05,,1.28968414629138e-08,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",חפציבה חופים אגח א - קהל- חפציבה חופים בע"מ,1095942,,נדל"ן ובינוי,0,לא מדורג,2007-08-26T00:00:00.000Z,0.01,NIS,6,0.01,1268894,0.01,,0.1268894,0.642686237565591,4.09118118781064e-05,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",מליסרון אגח ד- מליסרון בע"מ,3230083,,נדל"ן ובינוי,AA-,מעלות,,2.52,NIS,4.7,1.43,366666.7,126.32,463.17337544,,0.055843943298303,0.149336839822308,,,
Migdal,199,2012,4,סכום נכסי הקרן,,ז. השקעות אחרות,,,,,,,,,,,,,,246.8955,,0.0796037024837165,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",בסר אירופה אגח ח- ב.ס.ר אירופה בע"מ,1170141,,נדל"ן ובינוי,B2,מידרוג,,0.01,NIS,5.5,0.01,0.01,100,,1e-05,4.45762097392688e-08,3.22421036572845e-09,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",מנורה מבטחים אגח א- מנורה מבטחים החזקות בע"מ,5660048,,ביטוח,Aa3,מידרוג,,3.33,NIS,4.28,1.34,169750.02,132.56,225.020626512,,0.033902903645247,0.07255138365027,,,
Migdal,199,2012,4,סכום נכסי הקרן,,סעיף 2. נכסים המוצגים לפי עלות מתואמת:,,,,,,,,,,,,,,,,,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",סי.בי.או. מימון 2002- סי.בי.או. מימון 2002,11500690,,אג"ח מובנות,AA,S&P,2011-01-11T00:00:00.000Z,26.42,USD,0.01,0.01,329969.2025,0.300896,,0.9928641315544,0,0.000320120282471767,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",פרטנר אגח ב- חברת פרטנר תקשורת בע"מ,1119320,,תקשורת ומדיה,AA-,מעלות,,2.34,NIS,3.4,1.29,124088,112.34,139.4004592,,0.0276982142857143,0.0449456405539946,,,
Migdal,199,2012,4,סכום נכסי הקרן,,א. אג''ח קונצרני סחיר,,,,,,,,,,,,,,4e-05,,1.28968414629138e-08,,,
Migdal,199,2012,4,ניירות ערך לא סחירים,"אג""ח קונצרני",אימאג'סאט בטוחות 2 -צ. דולר- אימאג'סט ישראל בטוחות בע"מ,1096734,,שרותים,A2,מידרוג,2006-03-06T00:00:00.000Z,0.81,NIS,3.006,3.21,81403.53,79.42,,64.650683526,0.402675081122649,0.0208447403975959,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",*אגוד הנפקות התח א- אגוד הנפקות בע"מ,1092766,,בנקים,A1,מידרוג,,0.33,NIS,4.3,0.95,316406.9,124.11,392.69260359,,0.414427244240605,0.126612356303977,,,
Migdal,199,2012,4,סכום נכסי הקרן,,ב. אג''ח קונצרני לא סחיר,,,,,,,,,,,,,,4e-05,,1.28968414629138e-08,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",אמות אגח א- אמות השקעות בע"מ,1097385,,נדל"ן ובינוי,A+,מעלות,,3.28,NIS,4.95,1.6,850000.01,132.82,1128.970013282,,0.0941420831509608,0.364003681942041,,,
Migdal,199,2012,4,סכום נכסי הקרן,,ג. מסגרות אשראי מנוצלות ללווים,,,,,,,,,,,,,,0,,0,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",גב ים אגח ה- חברת גב-ים לקרקעות בע"מ,7590110,,נדל"ן ובינוי,A+,מעלות,,3.05,NIS,4.55,1.45,850000,132.23,1123.955,,0.120207605605917,0.362386736161232,,,
Migdal,199,2012,4,סכום נכסי הקרן,,סה''כ סכום נכסי ההשקעה,,,,,,,,,,,,,,310155.799663344,,100.000676318309,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",גזית גלוב אגח ד- גזית-גלוב בע"מ,1260397,,נדל"ן ובינוי,A+,מעלות,,6.16,NIS,5.1,3.39,134451,133.83,179.9357733,,0.00649820690865844,0.0580150785439224,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",גזית גלוב אגח י- גזית-גלוב בע"מ,1260488,,נדל"ן ובינוי,A+,מעלות,,5.47,NIS,6.5,1.93,400000,143.81,575.24,,0.0544364183994005,0.185469477078163,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דיסקונט מנ הת ד- דיסקונט מנפיקים בע"מ,7480049,,בנקים,A+,מעלות,,4.89,NIS,4.75,1.52,631751,135.8,857.917858,,0.0870663743097064,0.276610765070715,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",דיסקונט מנפיקים הת ח- דיסקונט מנפיקים בע"מ,7480072,,בנקים,A+,מעלות,,2.97,NIS,4.29,0.98,653747,130.63,853.9897061,,0.0767650163629126,0.275344246263301,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",חברה לישראל אגח 6- החברה לישראל בע"מ,5760152,,השקעה ואחזקות,A+,מעלות,,1.64,NIS,4.55,1.13,800000,127.27,1018.16,,0.0575702704268031,0.328276202597008,,,
Migdal,199,2012,4,ניירות ערך סחירים,"אג""ח קונצרני",חברה לישראל אגח 7- החברה לישראל בע"מ,5760160,,השקעה ואחזקות,A+,מעלות,,5.44,NIS,4.7,2.28,800000,137.1,1096.8,,0.0461162992296819,0.353631392913096,,,
